lat,lon,road_class,traffic_weight
26.9210272,75.835446,primary,0.7
26.9208898,75.8364583,primary,0.7
26.9192222,75.8444375,primary,0.7
26.9200662,75.8401715,primary,0.7
26.918659,75.8471497,primary,0.7
26.9185735,75.8473449,primary,0.7
26.8562553,75.7865453,tertiary,0.3
26.8563201,75.7864606,tertiary,0.3
26.8471291,75.7836385,tertiary,0.3
26.9169425,75.8009243,trunk,0.9
26.9169517,75.8010147,trunk,0.9
26.9222433,75.7501192,tertiary,0.3
26.9060466,75.7940532,tertiary,0.3
26.9075679,75.793858,tertiary,0.3
26.8995177,75.8187886,tertiary,0.3
26.8992908,75.8134102,primary,0.7
26.9115998,75.7437283,tertiary,0.3
26.8677199,75.8082924,tertiary,0.3
26.8676906,75.8082835,tertiary,0.3
26.8658766,75.771965,tertiary,0.3
26.9115243,75.7437203,tertiary,0.3
26.9202577,75.7889005,primary,0.7
26.8310391,75.7766689,tertiary,0.3
26.828314,75.7757236,tertiary,0.3
26.8392435,75.7770181,tertiary,0.3
26.8393148,75.7770458,tertiary,0.3
26.8399082,75.7770204,tertiary,0.3
26.8340412,75.7780491,tertiary,0.3
26.8223803,75.795232,primary,0.7
26.822295,75.795386,primary,0.7
26.8518405,75.8042659,tertiary,0.3
26.8519503,75.8042881,tertiary,0.3
26.8525166,75.8039785,tertiary,0.3
26.8522313,75.8039042,tertiary,0.3
26.9229966,75.7452117,secondary,0.5
26.851768,75.6435571,trunk,0.9
26.8618398,75.6746192,tertiary,0.3
26.904014,75.8140176,tertiary,0.3
26.9039827,75.813839,tertiary,0.3
26.90707,75.8052284,tertiary,0.3
26.8884844,75.8822017,tertiary,0.3
26.8881123,75.8849356,tertiary,0.3
26.8867021,75.8902516,tertiary,0.3
26.8863167,75.8916854,tertiary,0.3
26.8855295,75.893581,tertiary,0.3
26.7920113,75.6762618,tertiary,0.3
26.7905066,75.696837,tertiary,0.3
26.8020271,75.7176579,tertiary,0.3
26.7923883,75.6716774,secondary,0.5
26.8455515,75.667423,tertiary,0.3
26.878671,75.716932,trunk,0.9
26.8784384,75.7165229,trunk,0.9
26.8756746,75.7263485,tertiary,0.3
26.8757837,75.7267652,tertiary,0.3
26.840826,75.7476093,tertiary,0.3
26.8687231,75.7266225,secondary,0.5
26.8703755,75.7253786,secondary,0.5
26.8693306,75.7264043,secondary,0.5
26.8917263,75.8037523,tertiary,0.3
26.8542841,75.7948578,primary,0.7
26.8901556,75.7942055,tertiary,0.3
26.8901746,75.7944681,tertiary,0.3
26.8928121,75.7936122,tertiary,0.3
26.8900103,75.7940501,tertiary,0.3
26.8586322,75.7953979,primary,0.7
26.8576958,75.7953644,primary,0.7
26.8266333,75.8493267,tertiary,0.3
26.8254748,75.8463994,tertiary,0.3
26.8255097,75.8468654,tertiary,0.3
26.8391872,75.8332527,secondary,0.5
26.9409359,75.7485752,tertiary,0.3
26.9295709,75.7186784,tertiary,0.3
26.8630996,75.760232,tertiary,0.3
26.8430238,75.7458192,tertiary,0.3
26.8391171,75.7428381,tertiary,0.3
26.840443,75.7432162,tertiary,0.3
26.8379207,75.7423195,tertiary,0.3
26.8351529,75.7416489,tertiary,0.3
26.8361814,75.7417802,tertiary,0.3
26.8368297,75.7420461,tertiary,0.3
26.8411914,75.7471496,tertiary,0.3
26.8415109,75.7471653,tertiary,0.3
26.9293938,75.7882798,primary,0.7
26.9234324,75.6913769,tertiary,0.3
26.839331,75.7392142,tertiary,0.3
26.8369513,75.7386617,tertiary,0.3
26.8369055,75.7378778,tertiary,0.3
26.8367952,75.7394682,tertiary,0.3
26.8366065,75.7399306,tertiary,0.3
26.8369657,75.7388396,tertiary,0.3
26.83395,75.7331183,tertiary,0.3
26.9966932,75.7861055,tertiary,0.3
26.9995568,75.7949856,tertiary,0.3
26.9855949,75.7860709,tertiary,0.3
26.8396195,75.7478744,tertiary,0.3
26.9313292,75.8005525,tertiary,0.3
26.8986977,75.7454493,tertiary,0.3
26.9704457,75.7661002,tertiary,0.3
26.8975178,75.77085,secondary,0.5
26.7912292,75.8620907,tertiary,0.3
26.8032208,75.8085531,tertiary,0.3
26.8182246,75.8560588,tertiary,0.3
26.8436332,75.7486635,tertiary,0.3
26.7983277,75.8123026,tertiary,0.3
26.7738929,75.7132684,tertiary,0.3
26.7572801,75.7285818,tertiary,0.3
26.7681273,75.7041478,tertiary,0.3
26.8201981,75.8956376,tertiary,0.3
27.0504282,75.6630619,tertiary,0.3
26.9092269,75.6955993,tertiary,0.3
26.7971858,75.8225957,tertiary,0.3
26.7995423,75.8211755,tertiary,0.3
26.849811,75.8245897,secondary,0.5
26.850843,75.8248243,secondary,0.5
26.8486754,75.8268093,secondary,0.5
26.8527726,75.8244996,secondary,0.5
26.8507901,75.8249595,secondary,0.5
26.9575521,75.7336119,tertiary,0.3
26.9014754,75.7833099,secondary,0.5
26.9008471,75.795954,secondary,0.5
26.8990679,75.7995528,secondary,0.5
26.7688103,75.8465912,tertiary,0.3
26.7684359,75.8462402,tertiary,0.3
26.7681709,75.8459474,tertiary,0.3
26.7705015,75.8531268,secondary,0.5
26.7696206,75.8508775,secondary,0.5
26.7699626,75.8515029,secondary,0.5
26.9085526,75.79074,tertiary,0.3
26.8330402,75.8393739,tertiary,0.3
26.8261095,75.7410855,tertiary,0.3
26.8255519,75.7416051,tertiary,0.3
26.8015106,75.857571,secondary,0.5
26.8752643,75.7370891,tertiary,0.3
26.8794616,75.737053,tertiary,0.3
26.79641,75.8425297,tertiary,0.3
26.866938,75.7282292,secondary,0.5
26.8177449,75.8503642,tertiary,0.3
26.8176444,75.8504052,tertiary,0.3
26.8135123,75.7513501,tertiary,0.3
27.0001306,75.7465892,tertiary,0.3
26.9988404,75.7462905,tertiary,0.3
26.8120965,75.7464731,tertiary,0.3
26.8071286,75.7461874,tertiary,0.3
26.8069967,75.7480484,tertiary,0.3
26.8143403,75.7467016,tertiary,0.3
26.8842899,75.7398001,trunk,0.9
26.8027457,75.8571824,secondary,0.5
26.8015359,75.8576829,secondary,0.5
26.8414656,75.8025909,primary,0.7
26.8189325,75.7818199,primary,0.7
26.8084264,75.8047784,trunk,0.9
26.8391666,75.7923552,primary,0.7
26.8394179,75.7983915,primary,0.7
26.8522663,75.7830173,tertiary,0.3
26.8523065,75.7827564,tertiary,0.3
26.8522663,75.7830173,tertiary,0.3
26.852183,75.7837909,tertiary,0.3
26.8419933,75.7936904,primary,0.7
26.8387523,75.7937426,primary,0.7
26.8551107,75.8284347,tertiary,0.3
26.8379403,75.9185755,tertiary,0.3
26.840801,75.9222708,tertiary,0.3
26.8985062,75.8598165,tertiary,0.3
26.8982413,75.8598257,tertiary,0.3
27.0388494,75.7223582,tertiary,0.3
27.0343961,75.7223607,tertiary,0.3
27.044556,75.7439751,tertiary,0.3
27.0448131,75.7436969,tertiary,0.3
27.0448945,75.7393231,tertiary,0.3
26.9270275,75.8077306,primary,0.7
26.7498732,75.6742412,tertiary,0.3
26.7490928,75.6703413,tertiary,0.3
26.888872,75.803554,primary,0.7
26.7967641,75.6914366,secondary,0.5
26.777342,75.6676323,tertiary,0.3
26.7872365,75.673281,tertiary,0.3
26.7890288,75.674445,tertiary,0.3
26.7875528,75.6735234,tertiary,0.3
26.7873646,75.6733844,tertiary,0.3
26.8655326,75.8075078,primary,0.7
26.865248,75.8074407,tertiary,0.3
26.8674059,75.8081446,primary,0.7
26.7966358,75.6770558,tertiary,0.3
26.7959353,75.6792983,tertiary,0.3
26.7738375,75.6658136,tertiary,0.3
26.7738216,75.6661592,tertiary,0.3
26.9330618,75.7834194,tertiary,0.3
26.7857263,75.8160017,tertiary,0.3
26.7758284,75.6910157,tertiary,0.3
26.7694856,75.6902762,tertiary,0.3
26.7693085,75.6988612,tertiary,0.3
26.7670584,75.6896082,tertiary,0.3
26.7590426,75.6826654,tertiary,0.3
26.7525793,75.6987083,tertiary,0.3
26.7539411,75.6951888,tertiary,0.3
26.7502321,75.7065276,tertiary,0.3
26.7509748,75.7140398,tertiary,0.3
26.75211,75.7157135,tertiary,0.3
26.7502519,75.7187873,tertiary,0.3
26.7692744,75.720135,tertiary,0.3
26.7786364,75.7237323,tertiary,0.3
27.0030814,75.8826131,tertiary,0.3
27.0017195,75.9036331,tertiary,0.3
26.800332,75.6773999,tertiary,0.3
26.7472874,75.8567605,tertiary,0.3
26.7656757,75.7460826,tertiary,0.3
26.769455,75.7427167,tertiary,0.3
26.8117383,75.7524544,tertiary,0.3
26.885901,75.772025,tertiary,0.3
26.886195,75.7725255,tertiary,0.3
27.0173812,75.7496016,tertiary,0.3
26.8364279,75.7369276,tertiary,0.3
26.8364932,75.7368604,tertiary,0.3
26.9153417,75.7314669,tertiary,0.3
26.7463063,75.7305706,primary,0.7
27.0188474,75.7522885,tertiary,0.3
26.8203552,75.8962256,tertiary,0.3
26.7495252,75.7110835,tertiary,0.3
26.7567521,75.7175662,tertiary,0.3
26.7683435,75.7053751,tertiary,0.3
26.8933374,75.7460905,tertiary,0.3
26.8973216,75.7537083,tertiary,0.3
26.8180324,75.8937852,tertiary,0.3
26.8201666,75.8938074,tertiary,0.3
26.9748031,75.7799475,tertiary,0.3
26.9814518,75.7771988,tertiary,0.3
26.8650636,75.8587698,tertiary,0.3
26.8360088,75.8768891,tertiary,0.3
26.839781,75.7679589,tertiary,0.3
26.8354393,75.8730436,tertiary,0.3
26.8356541,75.8826172,tertiary,0.3
26.7687878,75.6642986,tertiary,0.3
26.7610467,75.66576,tertiary,0.3
26.8836734,75.875684,tertiary,0.3
26.8058223,75.8947591,tertiary,0.3
26.805551,75.8948566,tertiary,0.3
26.8740841,75.8828747,tertiary,0.3
26.8739246,75.882893,tertiary,0.3
26.8350436,75.8564693,tertiary,0.3
26.8350662,75.8572525,tertiary,0.3
26.834977,75.859162,tertiary,0.3
26.8296696,75.8602442,tertiary,0.3
26.9238918,75.8225706,tertiary,0.3
26.9237734,75.8226894,tertiary,0.3
26.9236166,75.8239575,primary,0.7
26.8848438,75.7716757,tertiary,0.3
26.9084636,75.7529193,tertiary,0.3
26.9059553,75.7528768,tertiary,0.3
26.8433763,75.816237,tertiary,0.3
27.0220481,75.9076955,tertiary,0.3
27.0237183,75.9064555,tertiary,0.3
27.0240444,75.9060725,tertiary,0.3
27.0167726,75.904659,tertiary,0.3
27.0227475,75.9078157,tertiary,0.3
27.0231555,75.9074285,tertiary,0.3
27.0230818,75.9073717,tertiary,0.3
26.8241823,75.8470069,tertiary,0.3
26.8230688,75.8475255,tertiary,0.3
26.8242201,75.8471745,tertiary,0.3
26.8247073,75.8467375,tertiary,0.3
26.8256066,75.8463165,tertiary,0.3
26.8229465,75.8475821,tertiary,0.3
26.8220447,75.848,tertiary,0.3
27.0450029,75.7363267,tertiary,0.3
26.8907566,75.7574155,tertiary,0.3
26.8783426,75.7975377,tertiary,0.3
26.876665,75.7977997,tertiary,0.3
26.8404729,75.922198,tertiary,0.3
26.8394204,75.9207743,tertiary,0.3
26.8209719,75.8840932,tertiary,0.3
26.8202579,75.8993975,tertiary,0.3
26.8201245,75.8917415,tertiary,0.3
26.8230798,75.8775714,tertiary,0.3
26.8454533,75.924719,tertiary,0.3
26.8226687,75.9562493,tertiary,0.3
26.8401643,75.8850941,tertiary,0.3
26.8406532,75.8767626,tertiary,0.3
26.8445102,75.8294552,tertiary,0.3
26.7666493,75.9354436,tertiary,0.3
26.974338,75.6724245,tertiary,0.3
26.9750201,75.6698198,tertiary,0.3
26.9750007,75.669896,tertiary,0.3
26.9739668,75.674299,tertiary,0.3
26.9738159,75.6752524,tertiary,0.3
27.0453964,75.7233564,tertiary,0.3
26.8243171,75.6546011,tertiary,0.3
26.8174653,75.8567596,tertiary,0.3
26.8176542,75.8558481,tertiary,0.3
26.9729084,75.741031,tertiary,0.3
26.8202163,75.8899352,tertiary,0.3
26.8200815,75.8898695,tertiary,0.3
26.8260128,75.8749444,tertiary,0.3
26.8215351,75.8745229,tertiary,0.3
26.8247132,75.7516301,tertiary,0.3
26.8265468,75.7524707,tertiary,0.3
26.9574056,75.7477842,tertiary,0.3
26.8256712,75.684605,tertiary,0.3
26.7573393,75.7524235,tertiary,0.3
26.7652497,75.741452,tertiary,0.3
26.8245078,75.6843093,tertiary,0.3
26.8455415,75.6797461,tertiary,0.3
26.8531765,75.6795339,tertiary,0.3
26.8391968,75.679578,tertiary,0.3
26.8343218,75.6804956,tertiary,0.3
26.8206224,75.687695,tertiary,0.3
26.8128478,75.6955342,tertiary,0.3
26.8314203,75.8050011,tertiary,0.3
26.8445698,75.8295334,tertiary,0.3
26.8446553,75.8293499,tertiary,0.3
26.8451285,75.8291411,tertiary,0.3
26.8450965,75.8290597,tertiary,0.3
26.8463957,75.8281885,tertiary,0.3
26.9738215,75.6754166,tertiary,0.3
26.9748947,75.6753179,tertiary,0.3
26.969605,75.6772901,tertiary,0.3
26.9698519,75.6769313,tertiary,0.3
26.9698519,75.6769313,tertiary,0.3
26.969605,75.6772901,tertiary,0.3
27.0011871,75.7316357,tertiary,0.3
26.9767527,75.7484432,tertiary,0.3
26.9870119,75.751521,tertiary,0.3
26.9868192,75.7523431,tertiary,0.3
26.9865137,75.7535837,tertiary,0.3
26.8705113,75.7252728,secondary,0.5
27.0507412,75.7551796,tertiary,0.3
26.8037413,75.8081037,tertiary,0.3
26.8029291,75.7938326,tertiary,0.3
26.8565984,75.7239332,tertiary,0.3
26.8565634,75.7240574,tertiary,0.3
26.8567775,75.7241221,tertiary,0.3
26.7934282,75.7282686,tertiary,0.3
26.81069,75.651109,tertiary,0.3
26.9698597,75.7402195,tertiary,0.3
26.9699477,75.7381235,tertiary,0.3
26.9694416,75.7402724,tertiary,0.3
26.9689018,75.7378766,tertiary,0.3
26.9672269,75.7375626,tertiary,0.3
26.9653339,75.7364964,tertiary,0.3
26.964106,75.7366448,tertiary,0.3
26.8054619,75.8882133,tertiary,0.3
26.8138393,75.6947731,tertiary,0.3
26.8485391,75.7419173,tertiary,0.3
26.8900064,75.739771,tertiary,0.3
26.8906285,75.7406878,tertiary,0.3
26.8713521,75.7372349,tertiary,0.3
26.7961964,75.6694843,tertiary,0.3
26.7981496,75.6669432,tertiary,0.3
27.0009696,75.6863567,tertiary,0.3
26.8671595,75.7423696,tertiary,0.3
26.9692971,75.9241315,tertiary,0.3
26.8223725,75.8803094,tertiary,0.3
26.822415,75.8801793,tertiary,0.3
26.8223919,75.880669,tertiary,0.3
26.8222484,75.880777,tertiary,0.3
26.8222889,75.8806414,tertiary,0.3
26.8222889,75.8806414,tertiary,0.3
26.8635114,75.7482348,tertiary,0.3
26.8636398,75.7491159,tertiary,0.3
26.8733944,75.7043222,trunk,0.9
26.8787083,75.7166404,tertiary,0.3
26.8846963,75.7287008,trunk,0.9
26.8786921,75.7167373,tertiary,0.3
26.8786921,75.7167373,trunk,0.9
26.8186546,75.7908044,trunk,0.9
26.8185828,75.7904781,trunk,0.9
26.8982063,75.755646,trunk,0.9
26.8986245,75.7582491,trunk,0.9
26.8985658,75.7630252,trunk,0.9
26.8986454,75.7631805,trunk,0.9
26.8985075,75.7625823,trunk,0.9
26.9014562,75.7811792,secondary,0.5
26.9014691,75.7823359,secondary,0.5
26.9007776,75.7961114,secondary,0.5
26.9011071,75.7952578,secondary,0.5
26.8994707,75.7987371,secondary,0.5
26.8388729,75.7919838,primary,0.7
26.9056906,75.7278753,tertiary,0.3
26.9053382,75.7264814,tertiary,0.3
26.9097868,75.7255539,tertiary,0.3
26.7995518,75.840124,tertiary,0.3
26.7903339,75.8159414,tertiary,0.3
26.7911383,75.8155874,tertiary,0.3
26.892082,75.7267576,tertiary,0.3
26.891656,75.719405,tertiary,0.3
26.8920343,75.7227947,tertiary,0.3
26.8919338,75.7212529,tertiary,0.3
26.9592335,75.7720585,tertiary,0.3
26.9507047,75.7717194,primary,0.7
26.9635815,75.77285,tertiary,0.3
26.9592375,75.7726234,tertiary,0.3
26.9211555,75.8351661,primary,0.7
27.0470007,75.7887846,secondary,0.5
26.9182512,75.8488728,primary,0.7
27.029067,75.768767,trunk,0.9
26.9402293,75.7735365,primary,0.7
26.9281127,75.8048394,primary,0.7
26.9288404,75.8038015,tertiary,0.3
26.9282084,75.8025345,tertiary,0.3
26.9237398,75.8034864,primary,0.7
26.9260001,75.8071027,primary,0.7
26.899694,75.8192586,tertiary,0.3
26.8996441,75.8193777,tertiary,0.3
26.8441663,75.7705753,tertiary,0.3
26.8477522,75.7694692,tertiary,0.3
26.848778,75.7722963,tertiary,0.3
26.8494869,75.7739167,tertiary,0.3
26.8483241,75.7750436,tertiary,0.3
26.8475578,75.7770951,tertiary,0.3
26.8473897,75.7769666,tertiary,0.3
26.8497567,75.793859,tertiary,0.3
26.8517649,75.7945624,tertiary,0.3
26.9179139,75.8013893,trunk,0.9
26.9179139,75.8013893,tertiary,0.3
26.9265013,75.8085005,primary,0.7
26.926933,75.8085421,primary,0.7
26.930679,75.801441,primary,0.7
26.9384569,75.8008752,tertiary,0.3
26.939266,75.8020073,secondary,0.5
26.9453854,75.7983612,secondary,0.5
26.9458983,75.7981298,secondary,0.5
26.9455576,75.7979396,secondary,0.5
26.9596586,75.7871044,secondary,0.5
26.9658956,75.7742425,secondary,0.5
26.9665604,75.7723191,secondary,0.5
26.9684391,75.7725951,primary,0.7
26.9618207,75.7716858,primary,0.7
26.9709429,75.7723876,tertiary,0.3
26.9685156,75.7724154,primary,0.7
26.9621395,75.7715479,primary,0.7
26.9658147,75.7739031,secondary,0.5
26.9655965,75.7743807,secondary,0.5
26.9593256,75.7868087,secondary,0.5
26.9593773,75.7870983,secondary,0.5
26.9393176,75.8014469,secondary,0.5
26.9384374,75.8010458,secondary,0.5
26.9318449,75.7996572,primary,0.7
26.9258247,75.8076874,primary,0.7
26.9140343,75.8165784,primary,0.7
26.9165428,75.8178354,trunk,0.9
26.8517924,75.7943492,tertiary,0.3
26.9227816,75.8269836,primary,0.7
26.9292621,75.8316649,secondary,0.5
27.0181667,75.8805404,trunk,0.9
27.0129876,75.8789275,trunk,0.9
26.922856,75.8265933,primary,0.7
26.9913843,75.7724479,primary,0.7
26.9869382,75.7731559,tertiary,0.3
26.9859599,75.7846958,tertiary,0.3
26.8361434,75.8350611,secondary,0.5
26.8361587,75.8347101,tertiary,0.3
26.8362196,75.8348217,secondary,0.5
26.9925726,75.7719594,primary,0.7
26.9065074,75.8417062,trunk,0.9
26.9203569,75.7941061,primary,0.7
26.7878308,75.8260191,tertiary,0.3
26.93184,75.7848036,primary,0.7
26.9403877,75.7735616,primary,0.7
26.9453867,75.7347267,primary,0.7
26.8800599,75.7567323,tertiary,0.3
26.7702987,75.8341629,trunk,0.9
26.7672151,75.836665,tertiary,0.3
26.7689492,75.8349576,tertiary,0.3
26.7690791,75.8351352,tertiary,0.3
26.7718075,75.8324982,tertiary,0.3
26.7729799,75.8664627,secondary,0.5
26.7779467,75.905216,tertiary,0.3
26.7762344,75.8658622,tertiary,0.3
26.7753465,75.8634929,tertiary,0.3
26.7752293,75.8614983,tertiary,0.3
26.7678344,75.8364591,tertiary,0.3
26.768793,75.8354544,trunk,0.9
26.7967654,75.8137836,secondary,0.5
26.7966179,75.8139046,trunk,0.9
26.7966406,75.8136957,trunk,0.9
26.9501126,75.857473,trunk,0.9
26.8665781,75.7853722,primary,0.7
26.8413833,75.7772631,tertiary,0.3
26.8398517,75.7770063,primary,0.7
26.8444913,75.765431,trunk,0.9
26.8193251,75.772632,tertiary,0.3
26.8287647,75.7783849,tertiary,0.3
26.8271012,75.7772221,tertiary,0.3
26.8282106,75.775532,trunk,0.9
26.8279462,75.7759073,trunk,0.9
26.8337173,75.7703994,trunk,0.9
26.8394262,75.7677387,primary,0.7
26.8397352,75.7769877,primary,0.7
26.8436697,75.7776361,tertiary,0.3
26.8516876,75.7862284,tertiary,0.3
26.8519558,75.7862498,tertiary,0.3
26.8635701,75.7869101,tertiary,0.3
26.8646253,75.7869512,tertiary,0.3
26.8668393,75.7853126,primary,0.7
26.8676296,75.7847089,primary,0.7
26.8679777,75.7842632,primary,0.7
26.9467569,75.8998528,tertiary,0.3
26.9498057,75.8561459,trunk,0.9
26.9461174,75.8504459,trunk,0.9
26.9461233,75.8503303,trunk,0.9
26.9460588,75.8502571,trunk,0.9
26.9458671,75.840039,secondary,0.5
26.9460786,75.8399834,tertiary,0.3
26.9217449,75.7971643,primary,0.7
26.9205722,75.7905988,primary,0.7
26.9203586,75.7908099,primary,0.7
26.9205043,75.7925489,tertiary,0.3
26.9205203,75.7933086,primary,0.7
26.8857156,75.807329,secondary,0.5
26.8550885,75.8240675,secondary,0.5
26.851154,75.82475,secondary,0.5
26.8403931,75.8325794,secondary,0.5
26.8361011,75.8348399,secondary,0.5
26.8360383,75.8352714,secondary,0.5
26.8361219,75.8352153,secondary,0.5
26.836422,75.8850894,tertiary,0.3
26.8363424,75.8852464,tertiary,0.3
26.8365688,75.8851637,tertiary,0.3
26.8391734,75.833551,secondary,0.5
26.8545992,75.8243202,secondary,0.5
26.8551629,75.8242542,secondary,0.5
26.8547429,75.8240989,secondary,0.5
26.8579167,75.8238814,secondary,0.5
26.8844685,75.8127559,primary,0.7
26.884941,75.8126587,primary,0.7
26.8857332,75.8074414,secondary,0.5
26.886696,75.8026953,secondary,0.5
26.8868128,75.8025658,primary,0.7
26.8388795,75.7489832,tertiary,0.3
26.8342321,75.7523309,tertiary,0.3
26.835263,75.7553378,tertiary,0.3
